Date,Open,High,Low,Close
2021-06-30,0.2525,0.2545,0.2447,0.2506
2021-06-29,0.2563,0.2602,0.2524,0.2524
2021-06-28,0.2641,0.2661,0.2543,0.2563
2021-06-25,0.272,0.274,0.2602,0.2681
2021-06-24,0.2681,0.272,0.2543,0.27
2021-06-23,0.2524,0.2681,0.2465,0.2621
2021-06-22,0.2524,0.2565,0.2281,0.2301
2021-06-21,0.2664,0.2765,0.2482,0.2583
2021-06-18,0.2137,0.2743,0.2077,0.2521
2021-06-17,0.2093,0.2174,0.1993,0.2133
2021-06-16,0.1671,0.2092,0.1611,0.2092
2021-06-15,0.159,0.167,0.159,0.165
2021-06-14,0.151,0.161,0.151,0.161
2021-06-11,0.147,0.1529,0.145,0.149
2021-06-10,0.1588,0.1608,0.1449,0.1469
2021-06-09,0.1528,0.1567,0.1468,0.1567
2021-06-08,0.1527,0.1547,0.1508,0.1547
2021-06-07,0.1547,0.1567,0.1527,0.1567
2021-06-04,0.1586,0.1625,0.1448,0.1487
2021-06-03,0.1506,0.1604,0.1486,0.1584
2021-06-02,0.1466,0.1506,0.1427,0.1466
2021-06-01,0.1486,0.1505,0.1446,0.1486
2021-05-28,0.1505,0.1524,0.1387,0.1406
2021-05-27,0.1485,0.1524,0.1466,0.1466
2021-05-26,0.1485,0.1505,0.1427,0.1485
2021-05-25,0.1514,0.1554,0.1433,0.1453
2021-05-24,0.1554,0.1574,0.1513,0.1513
2021-05-21,0.1513,0.1574,0.1493,0.1553
2021-05-20,0.1592,0.1592,0.1472,0.1472
2021-05-19,0.1532,0.1612,0.1451,0.1592
2021-05-18,0.1531,0.1571,0.1511,0.1511
2021-05-17,0.1451,0.1571,0.1451,0.1571
2021-05-14,0.157,0.157,0.149,0.149
2021-05-13,0.1629,0.1669,0.1569,0.1569
2021-05-12,0.1609,0.1748,0.1549,0.1668
2021-05-11,0.1548,0.1608,0.1529,0.1608
2021-05-10,0.1469,0.1548,0.1429,0.1548
2021-05-07,0.1587,0.1607,0.1369,0.1468
2021-05-06,0.1586,0.1586,0.1527,0.1566
2021-05-05,0.1625,0.1664,0.1526,0.1546
2021-05-04,0.1683,0.1683,0.1585,0.1624
2021-05-03,0.1643,0.1663,0.1584,0.1624
