Date,Open,High,Low,Close,Volume
2021-06-30,4290.65,4302.43,4287.96,4297.5,1949896699
2021-06-29,4293.21,4300.52,4287.04,4291.8,1830630923
2021-06-28,4284.9,4292.14,4274.67,4290.61,1992399601
2021-06-25,4274.45,4286.12,4271.16,4280.7,2751790926
2021-06-24,4256.97,4271.28,4256.97,4266.49,1871426376
2021-06-23,4249.27,4256.6,4241.43,4241.84,1771820909
2021-06-22,4224.61,4255.84,4217.27,4246.44,1786553582
2021-06-21,4173.4,4226.24,4173.4,4224.79,2040521589
2021-06-18,4204.78,4204.78,4164.4,4166.45,3608789593
2021-06-17,4220.37,4232.29,4196.05,4221.86,2583091087
2021-06-16,4248.87,4251.89,4202.45,4223.7,2220452064
2021-06-15,4255.28,4257.16,4238.35,4246.59,1830754386
2021-06-14,4248.31,4255.59,4234.07,4255.15,1846240506
2021-06-11,4242.9,4248.38,4232.25,4247.44,1679469973
2021-06-10,4228.56,4249.74,4220.34,4239.18,1949114428
2021-06-09,4232.99,4237.09,4218.74,4219.55,1792953976
2021-06-08,4233.81,4236.74,4208.41,4227.26,2109263760
2021-06-07,4229.34,4232.34,4215.66,4226.52,1745172301
2021-06-04,4206.05,4233.45,4206.05,4229.89,1872715862
2021-06-03,4191.43,4204.39,4167.93,4192.85,2194432214
2021-06-02,4206.82,4217.37,4198.27,4208.12,2028836814
2021-06-01,4216.52,4234.12,4197.59,4202.04,2096973335
2021-05-28,4210.77,4218.36,4203.57,4204.11,1958464949
2021-05-27,4201.94,4213.38,4197.78,4200.88,3407781249
2021-05-26,4191.59,4202.61,4184.11,4195.99,2087338274
2021-05-25,4205.94,4213.42,4182.52,4188.13,2117333013
2021-05-24,4170.16,4209.52,4170.16,4197.05,1848676717
2021-05-21,4168.61,4188.72,4151.72,4155.86,2196798084
2021-05-20,4121.97,4172.8,4121.97,4159.12,2159532191
2021-05-19,4098.45,4116.93,4061.41,4115.68,2414067271
2021-05-18,4165.94,4169.15,4125.99,4127.83,2324677838
2021-05-17,4169.92,4171.92,4142.69,4163.29,2278897644
2021-05-14,4129.58,4183.13,4129.58,4173.85,1904970402
2021-05-13,4074.99,4131.58,4074.99,4112.5,2163353723
2021-05-12,4130.55,4134.73,4056.88,4063.04,2406683784
2021-05-11,4150.34,4162.04,4111.53,4152.1,2432749321
2021-05-10,4228.29,4236.39,4188.13,4188.43,2320014566
2021-05-07,4210.34,4238.04,4201.64,4232.6,2048519190
2021-05-06,4169.14,4202.7,4147.33,4201.62,2239080813
2021-05-05,4177.06,4187.72,4160.94,4167.59,1769152889
2021-05-04,4179.04,4179.04,4128.59,4164.66,2552420121
2021-05-03,4191.98,4209.39,4188.03,4192.66,2182103434
