Date,Open,High,Low,Close
2021-06-30,1.478,1.482,1.439,1.47
2021-06-29,1.485,1.505,1.473,1.473
2021-06-28,1.526,1.526,1.471,1.48
2021-06-25,1.493,1.544,1.482,1.526
2021-06-24,1.497,1.502,1.478,1.497
2021-06-23,1.485,1.494,1.465,1.487
2021-06-22,1.49,1.507,1.462,1.467
2021-06-21,1.404,1.495,1.396,1.492
2021-06-18,1.509,1.518,1.44,1.443
2021-06-17,1.572,1.575,1.479,1.514
2021-06-16,1.499,1.579,1.484,1.579
2021-06-15,1.485,1.511,1.48,1.494
2021-06-14,1.459,1.502,1.457,1.497
2021-06-11,1.435,1.47,1.43,1.454
2021-06-10,1.481,1.525,1.435,1.435
2021-06-09,1.523,1.526,1.472,1.492
2021-06-08,1.553,1.564,1.518,1.536
2021-06-07,1.577,1.582,1.565,1.57
2021-06-04,1.627,1.633,1.557,1.557
2021-06-03,1.596,1.63,1.594,1.625
2021-06-02,1.608,1.613,1.587,1.589
2021-06-01,1.616,1.637,1.606,1.606
2021-05-28,1.618,1.622,1.579,1.581
2021-05-27,1.571,1.623,1.571,1.61
2021-05-26,1.579,1.581,1.554,1.579
2021-05-25,1.599,1.599,1.554,1.56
2021-05-24,1.62,1.625,1.598,1.603
2021-05-21,1.63,1.639,1.613,1.623
2021-05-20,1.666,1.673,1.627,1.628
2021-05-19,1.649,1.692,1.62,1.674
2021-05-18,1.651,1.654,1.632,1.64
2021-05-17,1.611,1.652,1.61,1.652
2021-05-14,1.657,1.657,1.628,1.633
2021-05-13,1.679,1.705,1.654,1.657
2021-05-12,1.62,1.697,1.611,1.693
2021-05-11,1.602,1.629,1.6,1.623
2021-05-10,1.597,1.607,1.561,1.604
2021-05-07,1.568,1.581,1.52,1.579
2021-05-06,1.575,1.589,1.559,1.568
2021-05-05,1.605,1.621,1.569,1.571
2021-05-04,1.615,1.623,1.562,1.583
2021-05-03,1.631,1.653,1.582,1.601
